time,step-size,{bodyFMU}.body.body.omega.flow,{bodyFMU}.body.body.v.flow[1],{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{bodyFMU}.body.servo_left.rotational_velocity.p3.f,{bodyFMU}.body.servo_right.rotational_velocity.p3.f,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensor1FMU}.sensor1.lf_1_sensor_reading,{sensor2FMU}.sensor2.lf_1_sensor_reading
14.459999999999736,0.01,0.4653680714534349,0.05167116778551754,2.5346487783654315,-0.13760890206589532,0.0400281742599056,0.0,0.869853169377355,-2.2381862771799255,0.1,-0.5,254.00000000000006,38.00000000000001
14.469999999999736,0.01,0.47616551339120733,0.051671283498959206,2.5393569337650295,-0.13785449517381343,0.03956977889683326,0.0,0.8538598330083633,-2.25418661818705,0.1,-0.5,254.00000000000006,41.00000000000001
14.479999999999736,0.01,0.48645325523322686,0.05167139295702384,2.5441704139382866,-0.138096809931065,0.03910946899003925,0.0,0.8386342822675684,-2.2694187848323373,0.1,-0.5,254.00000000000006,44.00000000000001
14.489999999999736,0.01,0.49628928810502604,0.05167149715433513,2.5490845134533955,-0.13833583593569998,0.03864727460203436,0.0,0.8240752182992266,-2.2839841494728486,0.1,-0.5,254.00000000000006,48.000000000000014
14.499999999999735,0.01,0.5056740062306349,0.05167159564102922,2.5540947036098576,-0.1385715618765604,0.03818322517861594,0.0,0.8101829398474927,-2.2978823862631046,0.1,-0.5,254.00000000000006,54.000000000000014
14.509999999999735,0.01,0.5146324318974052,0.05167168858236851,2.5591965869428623,-0.13880397766404018,0.03771735095949526,0.0,0.7969226789691629,-2.3111482703378816,0.1,-0.5,254.00000000000006,59.000000000000014
14.519999999999735,0.01,0.5231850800763275,0.05167177611138329,2.5643860118862882,-0.1390330726793883,0.03724968176184405,0.0,0.7842626937595883,-2.3238135529138417,0.1,-0.5,255.00000000000006,66.00000000000001
14.529999999999735,0.01,0.5313489486961804,0.05167185829451798,2.569659003922717,-0.13925883637110653,0.03678024736303913,0.0,0.7721781476552366,-2.3359030741808624,0.1,-0.5,254.00000000000006,74.00000000000001
14.539999999999734,0.01,0.5391422430700086,0.05167193526532349,2.575011766863407,-0.1394812582858257,0.0363090774994274,0.0,0.7606421601022123,-2.3474437225476463,0.1,-0.5,254.00000000000006,83.00000000000001
14.549999999999734,0.01,0.5465817460371777,0.05167200715386132,2.5804406800419657,-0.1397003279777026,0.03583620179047488,0.0,0.7496297919227979,-2.3584604450662896,0.1,-0.5,255.00000000000006,90.00000000000001
14.559999999999734,0.01,0.5536834443220674,0.05167207409667562,2.5859422858653702,-0.13991603508062606,0.03536164977172199,0.0,0.7391174165905926,-2.3689768763890315,0.1,-0.5,254.00000000000006,99.00000000000003
14.569999999999734,0.01,0.5604627230371807,0.05167213624102089,2.591513283859075,-0.14012836931187045,0.03488545088497744,0.0,0.7290822565323137,-2.379015802911173,0.1,-0.5,254.00000000000006,107.00000000000003
14.579999999999734,0.01,0.566934208581679,0.05167219373779536,2.5971505235573944,-0.1403373204804395,0.03440763447366074,0.0,0.7195026562599256,-2.38859888917591,0.1,-0.5,255.00000000000006,114.00000000000003
14.589999999999733,0.01,0.5731118733045447,0.051672246741992854,2.6028509974222924,-0.1405428785026117,0.03392822978426606,0.0,0.7103579369669111,-2.3977468232889803,0.1,-0.5,254.00000000000006,123.00000000000003
14.599999999999733,0.01,0.5790090605447212,0.05167229541146023,2.6086118344942397,-0.14074503341048084,0.03344726596487692,0.0,0.7016283470780841,-2.406479366308073,0.1,-0.5,254.00000000000006,130.00000000000003
14.609999999999733,0.01,0.5846385031825045,0.051672339905476955,2.6144302941646527,-0.14094377536087843,0.03296477206520465,0.0,0.6932950396257589,-2.4148153747750425,0.1,-0.5,254.00000000000006,140.00000000000003
14.619999999999733,0.01,0.5900123575224234,0.05167238038399019,2.6203037602469816,-0.14113909464348023,0.03248077703723096,0.0,0.6853400216496621,-2.4227728512693423,0.1,-0.5,255.00000000000006,148.00000000000003
14.629999999999733,0.01,0.5951422279611072,0.05167241700675288,2.626229735338137,-0.14133098168760594,0.031995309736034885,0.0,0.6777461169991663,-2.4303689815541354,0.1,-0.5,255.00000000000006,158.00000000000003
14.639999999999732,0.01,0.6000391917535755,0.05167244993259653,2.6322058354218125,-0.14151942706836212,0.03150839892107593,0.0,0.6704969300631535,-2.437620170801553,0.1,-0.5,254.00000000000006,168.00000000000003
14.649999999999732,0.01,0.6047138233706529,0.05167247931882945,2.6382297847205876,-0.1417044215120261,0.031020073257763695,0.0,0.6635768095809442,-2.4445420797451107,0.1,-0.5,251.00000000000006,178.00000000000003
14.659999999999732,0.01,0.6091762171520105,0.05167250532070433,2.6442994107822595,-0.14188595590075076,0.03053036131926791,0.0,0.6569708150702829,-2.4511496582192316,0.1,-0.5,238.00000000000006,188.00000000000003
14.669999999999732,0.01,0.6134360091227199,0.05167252809097021,2.6504126397883283,-0.14206402127669304,0.030039291588544473,0.0,0.6506646845414531,-2.457457177417685,0.1,-0.5,227.00000000000006,198.00000000000006
14.679999999999731,0.01,0.6175023978233218,0.051672547779495176,2.656567492075898,-0.1422386088456148,0.029546892460528107,0.0,0.6446448036337428,-2.46347826073405,0.1,-0.5,214.00000000000006,204.00000000000006
14.689999999999731,0.01,0.6213841641578544,0.05167256453295072,2.662762077862837,-0.1424097099800143,0.029053192244459847,0.0,0.6388981762212349,-2.4692259131365715,0.1,-0.5,202.00000000000006,210.00000000000006
14.699999999999731,0.01,0.6250896903593967,0.05167257849455225,2.6689945931669854,-0.14257731622184328,0.028558219166319676,0.0,0.6334123963268482,-2.474712549238193,0.1,-0.5,189.00000000000003,221.00000000000006
14.70999999999973,0.01,0.6286269780910427,0.05167258980384916,2.6752633159106676,-0.14274141928485484,0.02806200137133634,0.0,0.628175621315532,-2.479950020090457,0.1,-0.5,175.00000000000003,232.00000000000006
14.71999999999973,0.01,0.6320036657235946,0.051672598596558816,2.681566602202061,-0.1429020110566248,0.02756456692655121,0.0,0.6231765463089849,-2.4849496387585446,0.1,-0.5,162.00000000000003,246.00000000000006
14.72999999999973,0.01,0.635227044830221,0.051672605004439084,2.687902882785394,-0.14305908360028313,0.027065943823414818,0.0,0.6184043797606102,-2.4897222047384377,0.1,-0.5,152.00000000000003,243.00000000000006
14.73999999999973,0.01,0.6383040759317201,0.051672609155195504,2.694270659652321,-0.14321262915599114,0.026566159980397935,0.0,0.6138488201409494,-2.4942780272657066,0.1,-0.5,140.00000000000003,241.00000000000006
14.74999999999973,0.01,0.6412414035269438,0.05167261117241814,2.700668502807138,-0.1433626401421937,0.026065243245600736,0.0,0.609500033682471,-2.4986269475667484,0.5,-0.1,130.00000000000003,245.00000000000006
14.75999999999973,0.01,-0.11430452526526463,0.0516655620194997,2.7037402295835022,-0.14353331749768816,0.025574530314711075,0.0,1.6229634177418744,-1.4847406415369673,0.5,-0.1,117.00000000000003,253.00000000000006
14.76999999999973,0.01,-0.1350902722975096,0.051667546999380795,2.7017432891600612,-0.14377345330896885,0.025116491275275973,0.0,1.7919489917276485,-1.315879807358795,0.5,-0.1,123.00000000000003,254.00000000000006
14.77999999999973,0.01,-0.04031845522981168,0.051667321025269844,2.701187586719717,-0.14400236184753845,0.024653191049546677,0.0,1.602862374689674,-1.504944324934936,0.5,-0.1,161.00000000000003,225.00000000000006
14.78999999999973,0.01,-0.13577917409580986,0.051667759656018004,2.7002671570066616,-0.14423123793439868,0.024189881596780607,0.0,1.7456487985583056,-1.3621839591495302,0.5,-0.1,186.00000000000003,200.00000000000006
14.799999999999729,0.01,-0.14810069989707164,0.05166786965447341,2.6988100759299303,-0.14446836769048604,0.023730484664856152,0.0,1.7718020711631894,-1.3360397198307157,0.5,-0.1,213.00000000000006,168.00000000000003
14.809999999999729,0.01,-0.16883085651219973,0.0516679891830696,2.697250881141435,-0.14470730410849225,0.023271973836890295,0.0,1.7980230547341982,-1.3098246309381654,0.5,-0.1,230.00000000000006,127.00000000000003
14.819999999999729,0.01,-0.19785373288903785,0.051668204011038964,2.695408910786634,-0.1449499742167129,0.022815276786822908,0.0,1.841979808908431,-1.2658809845634458,0.5,-0.1,245.00000000000006,88.00000000000001
