time,step-size,{bodyFMU}.body.body.omega.flow,{bodyFMU}.body.body.v.flow[1],{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensor1FMU}.sensor1.lf_1_sensor_reading,{sensor2FMU}.sensor2.lf_1_sensor_reading
16.6199999999998,0.01,-0.49378899265769527,0.051671522238704214,3.3126945290969503,-0.11718476158386387,-0.12802040427907962,0.0,0.5,-0.1,254.00000000000006,226.00000000000006
16.6299999999998,0.01,-0.5032875901092401,0.05167162105282323,3.307708771851778,-0.11715916544044591,-0.128540226511414,0.0,0.5,-0.1,254.00000000000006,187.00000000000003
16.6399999999998,0.01,-0.5123549438440141,0.05167171433999646,3.3026302018540408,-0.1171373374849386,-0.1290603632587911,0.0,0.5,-0.1,255.00000000000006,147.00000000000003
16.649999999999803,0.01,-0.5210106211022456,0.05167180218583579,3.2974630329119754,-0.11711927506161551,-0.129580782937749,0.0,0.1,-0.5,255.00000000000006,105.00000000000003
16.659999999999805,0.01,0.22907660655089024,0.05166744238611403,3.295566105297183,-0.11707856754435808,-0.1300973854153429,0.0,0.1,-0.5,254.00000000000006,65.00000000000001
16.669999999999806,0.01,0.2446514387336424,0.05166934784009161,3.2986845066004093,-0.11696210022575443,-0.13060213266205892,0.0,0.1,-0.5,254.00000000000006,51.000000000000014
16.679999999999808,0.01,0.14490534028397273,0.05166835567318477,3.300310753267761,-0.11685796516142938,-0.13110875167491484,0.0,0.1,-0.5,254.00000000000006,67.00000000000001
16.68999999999981,0.01,0.23561758983873576,0.05166916582735727,3.3022531223691716,-0.11675393959702868,-0.13161534683452367,0.0,0.1,-0.5,254.00000000000006,77.00000000000001
16.69999999999981,0.01,0.2434062455167676,0.05166922678204671,3.304685744597621,-0.11664097254834882,-0.13212044254110333,0.0,0.1,-0.5,254.00000000000006,86.00000000000001
16.709999999999813,0.01,0.2598093379790088,0.051669319148336446,3.3071761890044065,-0.11652609604210379,-0.13262514879205456,0.0,0.1,-0.5,255.00000000000006,97.00000000000003
16.719999999999814,0.01,0.2847016016454636,0.051669553179106466,3.3099071283255954,-0.11640719980677389,-0.13312910116067617,0.0,0.1,-0.5,254.00000000000006,109.00000000000003
16.729999999999816,0.01,0.3019421297166561,0.0516696949575191,3.3128417514274426,-0.11628418978070898,-0.13363225758395955,0.0,0.1,-0.5,254.00000000000006,121.00000000000003
